Date,Name,adj
1990/1/1,スパゲッティ,-3
1990/2/1,スパゲッティ,-3
1990/3/1,スパゲッティ,-3
1997/4/1,スパゲッティ,-2
1997/5/1,スパゲッティ,-2
1997/6/1,スパゲッティ,-2
1997/7/1,スパゲッティ,-2
1997/8/1,スパゲッティ,-2
1997/9/1,スパゲッティ,-2
1997/10/1,スパゲッティ,-2
1997/11/1,スパゲッティ,-2
1997/12/1,スパゲッティ,-2
1998/1/1,スパゲッティ,-2
1998/2/1,スパゲッティ,-2
1998/3/1,スパゲッティ,-2
2014/4/1,スパゲッティ,-3
2014/5/1,スパゲッティ,-3
2014/6/1,スパゲッティ,-3
2014/7/1,スパゲッティ,-3
2014/8/1,スパゲッティ,-3
2014/9/1,スパゲッティ,-3
2014/10/1,スパゲッティ,-3
2014/11/1,スパゲッティ,-3
2014/12/1,スパゲッティ,-3
2015/1/1,スパゲッティ,-3
2015/2/1,スパゲッティ,-3
2015/3/1,スパゲッティ,-3
1989/4/1,カップ麺,-3
1989/5/1,カップ麺,-3
1989/6/1,カップ麺,-3
1989/7/1,カップ麺,-3
1989/8/1,カップ麺,-3
1989/9/1,カップ麺,-3
1989/10/1,カップ麺,-3
1989/11/1,カップ麺,-3
1989/12/1,カップ麺,-3
1990/1/1,カップ麺,-3
1990/2/1,カップ麺,-3
1990/3/1,カップ麺,-3
1997/4/1,カップ麺,-2
1997/5/1,カップ麺,-2
1997/6/1,カップ麺,-2
1997/7/1,カップ麺,-2
1997/8/1,カップ麺,-2
1997/9/1,カップ麺,-2
1997/10/1,カップ麺,-2
1997/11/1,カップ麺,-2
1997/12/1,カップ麺,-2
1998/1/1,カップ麺,-2
1998/2/1,カップ麺,-2
1998/3/1,カップ麺,-2
2014/4/1,カップ麺,-3
2014/5/1,カップ麺,-3
2014/6/1,カップ麺,-3
2014/7/1,カップ麺,-3
2014/8/1,カップ麺,-3
2014/9/1,カップ麺,-3
2014/10/1,カップ麺,-3
2014/11/1,カップ麺,-3
2014/12/1,カップ麺,-3
